Team Number,Team Name
127,Iron Bots
314,Quantum Robotics
482,Tech Titans
619,Robo Warriors
735,Circuit Breakers
841,Mech Masters
963,Code Crushers
1087,Gear Grinders
1194,Digital Dynamos
1268,Robot Revolution
1385,Cyber Sparks
1472,Metal Mavericks
1539,The Innovators
1647,Automated Alliance
1726,Future Builders
1842A,Logic Legends
1957,Byte Bots
2073,Steel Storm
2186,Techno Titans
2294,Robotic Rangers
2371,Circuit Cyclones
2488,Code Commanders
2593,Mecha Force
2674,Digital Dragons
2789,Robot Raptors
2891,Quantum Crew
2976,Tech Trailblazers
3084,Mechanical Minds
3197,Automation Nation
3275,The Gearheads
3382,Cyber Knights
3496,Robot Renegades
3573,Code Catalysts
3681,Steel Soldiers
3794,Tech Titans United
3876,Mecha Mavericks
3982,Digital Defenders
4095,Robot Raiders
4173,Circuit Champions
4286,Future Engineers
4391,Byte Brigade
4478,Quantum Mechanics
4583,Robot Rebels
4697,Tech Troopers
4784,Code Warriors
4892,Metal Masters
4976,Automation Avengers
5083,Digital Detectives
5197,The Circuit Crew
5284,Robotics United
5371,Iron Innovators
5489,Mecha Monsters
5576,Code Crusaders
5683,Tech Terminators
5791,Robot Rockets
5874,Circuit Command
5986,Digital Dreamers
6073,Steel Stars
6189A,Quantum Quokkas
6275,Mechanical Marvels
6382,Cyber Commanders
6497,Robot Revolutionaries
6584,Tech Explorers
6691,Code Constructors
6783,Mecha Masters
6897,Digital Dominators
6984,Circuit Chargers
7092,Robot Racers
7186,Steel Strikers
7294,Future Force
7381,Byte Builders
7497,Quantum Quest
7583,Automation Experts
7691,Tech Tacticians
7784,Robot Rangers
7896,Circuit Crushers
7983,Digital Dynamos United
8091,Metal Mechanics
8176,Code Creators
8284,Mecha Mission
8397,Cyber Cyclones
8483,Robot Republic
8591,Tech Transformers
8674,Steel Seekers
8786,Quantum Coders
8892,Circuit Collective
8984,Digital Drivers
9073,Mechanical Legends
9186,Robot Revolution
9274,Future Founders
9381,Code Captains
9476,Mecha Machines
9583,Tech Voyagers
9671,Digital Engineers
9784,Robot Renegades United
9876,Steel Surge
9942,Circuit Commanders
10000,Quantum Robotics United
1000A,Automation Alliance
245, Xpert Builder Gang
