Team Number,Team Name
127,Iron Bots
314,Quantum Robotics
482,Tech Titans
619,Robo Warriors
735,Circuit Breakers
841,Mech Masters
963,Code Crushers
1087,Gear Grinders
1194,Digital Dynamos
1268,Robot Revolution
1385,Cyber Sparks
1472,Metal Mavericks
1539,The Innovators
1647,Automated Alliance
1726,Future Builders
1842A,Logic Legends
1957,Byte Bots
2073,Steel Storm
2186,Techno Titans
2294,Robotic Rangers
2371,Circuit Cyclones
2488,Code Commanders
2593,Mecha Force
2674,Digital Dragons
2789,Robot Raptors
2891,Quantum Crew
2976,Tech Trailblazers
3084,Mechanical Minds
3197,Automation Nation
3275,The Gearheads
3382,Cyber Knights
3496,Robot Renegades
3573,Code Catalysts
3681,Steel Soldiers
3794,Tech Titans United
3876,Mecha Mavericks
3982,Digital Defenders
4095,Robot Raiders
4173,Circuit Champions
4286,Future Engineers
4391,Byte Brigade
4478,Quantum Mechanics
4583,Robot Rebels
4697,Tech Troopers
4784,Code Warriors
4892,Metal Masters
4976,Automation Avengers
5083,Digital Detectives
5197,The Circuit Crew
5284,Robotics United
